iter	Passed	Remaining
0	0	81
1	1	78
2	2	75
3	3	72
4	3	71
5	4	69
6	5	67
7	5	66
8	6	64
9	7	64
10	7	62
11	8	62
12	9	60
13	9	59
14	10	58
15	10	57
16	11	56
17	12	56
18	13	55
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	19	48
28	19	48
29	20	47
30	21	46
31	21	46
32	22	45
33	23	44
34	23	43
35	24	43
36	24	42
37	25	41
38	26	41
39	27	40
40	27	39
41	28	39
42	29	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	57	11
83	58	11
84	59	10
85	60	9
86	61	9
87	62	8
88	99	12
89	100	11
90	102	10
91	103	9
92	104	7
93	105	6
94	106	5
95	108	4
96	109	3
97	110	2
98	111	1
99	113	0
