iter	Passed	Remaining
0	0	824
1	1	751
2	2	678
3	2	650
4	3	625
5	3	602
6	4	586
7	4	573
8	5	569
9	5	559
10	6	554
11	6	547
12	7	542
13	7	538
14	8	535
15	8	531
16	9	528
17	9	527
18	10	525
19	10	522
20	11	521
21	11	519
22	12	519
23	12	522
24	13	524
25	14	527
26	14	529
27	15	529
28	15	528
29	16	525
30	16	524
31	17	523
32	17	522
33	18	522
34	18	520
35	19	519
36	19	518
37	20	517
38	20	516
39	21	515
40	22	515
41	22	515
42	23	516
43	23	518
44	24	517
45	24	516
46	25	516
47	26	515
48	26	515
49	27	516
50	27	517
51	28	518
52	28	518
53	29	516
54	29	514
55	30	513
56	30	512
57	31	510
58	32	510
59	32	509
60	33	508
61	33	507
62	34	506
63	34	505
64	35	505
65	35	505
66	36	504
67	36	503
68	37	503
69	37	502
70	38	501
71	38	500
72	39	499
73	39	499
74	40	497
75	40	496
76	41	496
77	41	496
78	42	496
79	43	496
80	43	496
81	44	495
82	44	492
83	45	491
84	45	490
85	46	490
86	46	489
87	47	488
88	47	487
89	48	486
90	48	486
91	49	485
92	49	484
93	50	483
94	50	482
95	51	481
96	51	480
97	52	479
98	52	478
99	53	477
100	53	476
101	54	476
102	54	475
103	55	474
104	55	473
105	56	473
106	56	473
107	57	473
108	57	473
109	58	473
110	59	472
111	59	472
112	60	472
113	61	474
114	61	475
115	62	475
116	62	473
117	63	473
118	63	472
119	64	472
120	65	472
121	65	471
122	66	471
123	66	470
124	67	469
125	67	468
126	67	467
127	68	466
128	68	465
129	69	464
130	69	463
131	70	462
132	71	463
133	71	464
134	72	464
135	73	464
136	73	463
137	74	462
138	74	462
139	75	461
140	75	461
141	76	459
142	76	458
143	77	458
144	77	457
145	78	456
146	78	455
147	79	455
148	79	454
149	80	453
150	80	453
151	81	452
152	81	451
153	82	450
154	82	450
155	83	449
156	83	449
157	84	448
158	84	447
159	85	447
160	85	445
161	86	445
162	86	444
163	87	445
164	87	444
165	88	443
166	88	443
167	89	442
168	89	441
169	90	441
170	90	440
171	91	440
172	91	439
173	92	438
174	92	438
175	93	437
176	93	436
177	94	435
178	94	435
179	95	434
180	95	433
181	96	433
182	96	432
183	97	431
184	97	431
185	98	430
186	98	429
187	99	429
188	99	428
189	100	428
190	101	428
191	101	428
192	102	427
193	102	427
194	103	426
195	103	425
196	104	424
197	104	424
198	105	423
199	105	423
200	106	422
201	106	421
202	107	421
203	107	420
204	108	420
205	108	419
206	109	418
207	109	418
208	110	417
209	110	417
210	111	416
211	111	416
212	112	415
213	112	414
214	113	414
215	113	413
216	114	413
217	115	412
218	115	412
219	116	412
220	116	411
221	117	411
222	117	410
223	118	409
224	118	409
225	119	408
226	119	408
227	120	407
228	120	406
229	121	406
230	121	405
231	122	405
232	122	404
233	123	403
234	123	403
235	124	402
236	124	402
237	125	401
238	125	400
239	126	399
240	126	399
241	127	398
242	127	398
243	128	397
244	128	397
245	129	396
246	130	396
247	130	396
248	131	395
249	131	395
250	132	394
251	132	393
252	133	393
253	133	392
254	134	392
255	134	391
256	135	391
257	135	390
258	136	389
259	136	389
260	137	388
261	137	388
262	138	387
263	138	387
264	139	386
265	139	385
266	140	385
267	140	384
268	141	384
269	141	383
270	142	383
271	142	382
272	143	382
273	144	381
274	144	381
275	145	380
276	145	380
277	146	380
278	147	379
279	147	379
280	148	379
281	148	379
282	149	378
283	150	378
284	150	377
285	151	377
286	151	376
287	152	375
288	152	375
289	153	374
290	153	374
291	154	373
292	154	373
293	155	372
294	155	371
295	156	371
296	156	370
297	157	370
298	157	369
299	158	369
300	158	368
301	159	368
302	159	367
303	160	367
304	161	367
305	161	366
306	162	366
307	162	365
308	163	364
309	163	364
310	164	363
311	164	363
312	165	362
313	165	362
314	166	361
315	166	361
316	167	360
317	167	359
318	168	359
319	168	358
320	169	358
321	169	357
322	170	356
323	170	356
324	171	355
325	171	355
326	172	354
327	173	354
328	173	354
329	174	353
330	174	353
331	175	352
332	175	352
333	176	351
334	176	351
335	177	350
336	177	350
337	178	349
338	178	348
339	179	348
340	179	347
341	180	347
342	180	346
343	181	346
344	182	345
345	182	345
346	183	344
347	183	343
348	183	343
349	184	342
350	184	341
351	185	341
352	185	340
353	186	340
354	186	339
355	187	339
356	188	338
357	188	338
358	189	338
359	189	337
360	190	337
361	190	336
362	191	336
363	191	335
364	192	334
365	193	334
366	193	333
367	194	333
368	194	332
369	195	332
370	195	331
371	196	331
372	196	330
373	197	329
374	197	329
375	198	328
376	198	328
377	199	327
378	199	327
379	200	326
380	200	325
381	201	325
382	201	325
383	202	324
384	203	324
385	203	323
386	204	323
387	204	322
388	205	322
389	205	321
390	206	321
391	206	320
392	207	320
393	207	319
394	208	319
395	208	318
396	209	317
397	209	317
398	210	316
399	210	316
400	211	315
401	211	315
402	212	314
403	212	313
404	213	313
405	213	312
406	214	312
407	214	311
408	215	311
409	215	310
410	216	310
411	216	309
412	217	309
413	218	308
414	218	308
415	219	307
416	219	306
417	220	306
418	220	305
419	221	305
420	221	304
421	222	304
422	222	303
423	222	302
424	223	302
425	223	301
426	224	301
427	224	300
428	225	300
429	225	299
430	226	298
431	226	298
432	227	297
433	227	297
434	228	296
435	228	296
436	229	295
437	230	295
438	230	294
439	231	294
440	231	293
441	232	293
442	233	293
443	233	292
444	234	292
445	234	291
446	235	291
447	235	290
448	236	289
449	236	289
450	237	288
451	237	288
452	238	287
453	238	287
454	239	286
455	239	286
456	240	285
457	240	284
458	241	284
459	241	283
460	242	283
461	242	282
462	243	282
463	243	281
464	244	281
465	244	280
466	245	280
467	246	279
468	246	279
469	247	278
470	247	278
471	248	278
472	249	277
473	249	277
474	250	276
475	251	276
476	251	276
477	252	275
478	252	274
479	253	274
480	253	273
481	254	273
482	254	272
483	255	272
484	255	271
485	256	271
486	256	270
487	257	270
488	257	269
489	258	268
490	258	268
491	259	267
492	259	267
493	260	266
494	261	266
495	261	265
496	262	265
497	262	264
498	263	264
499	263	263
500	264	263
501	264	262
502	265	262
503	265	261
504	266	261
505	266	260
506	267	259
507	267	259
